Account Name,Website,Billing State/Province,Opportunity Owner,Close Date,Est. Annual Construction Volume Range,USD Total Delta ARR,# of Pipeline Opps,Entry Channel (Category)
CDS Mestel Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fcdsmestelconstruction.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://cdsmestelconstruction.com (New Window)"">http://cdsmestelconstruction.com</a>",NY,Connor Fulk,3/1/2025,20M-50M,"43,311.32",3,Inbound
Dimension Construction Inc,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.dimensionconstructioninc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.dimensionconstructioninc.com (New Window)"">http://www.dimensionconstructioninc.com</a>",TN,Max Morgenson,2/28/2025,10M-20M,"38,716.16",4,Outbound
"Wolf Creek Contracting Company, LLC","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwolfcreekcontractors.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://wolfcreekcontractors.com (New Window)"">http://wolfcreekcontractors.com</a>",OH,Moshup Galbraith,2/28/2025,20M-50M,"39,453.39",5,Outbound
Kingsbury Companies LLC,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.kingsburyconstructionco.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.kingsburyconstructionco.com/ (New Window)"">http://www.kingsburyconstructionco.com/</a>",VT,RJ Wenger,2/28/2025,20M-50M,"54,988.94",3,Outbound
B R Builders of Florida,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fbrbuildersfl.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://brbuildersfl.com (New Window)"">http://brbuildersfl.com</a>",FL,Steven Dreilinger,2/28/2025,5M-10M,"17,961.41",1,Inbound
Kenneth Vona & Son,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fkennethvona.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://kennethvona.com (New Window)"">http://kennethvona.com</a>",MA,Greg Jackey,2/28/2025,10M-20M,"17,976.00",3,Outbound
Pritchard Development Corporation.,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fpritcharddevelopmentcorp.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://pritcharddevelopmentcorp.com (New Window)"">http://pritcharddevelopmentcorp.com</a>",NY,Michael Barminski,2/28/2025,10M-20M,"14,933.65",1,Unknown
Connetix Engineering,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fconeng.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://coneng.com/ (New Window)"">https://coneng.com/</a>",WA,Michael Barminski,2/28/2025,20M-50M,"18,893.38",1,Inbound
"ATHERTON Construction & Development, Inc","<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fathertoncd.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://athertoncd.com/ (New Window)"">https://athertoncd.com/</a>",VA,Parker Ornellas,2/28/2025,10M-20M,"19,891.80",1,Outbound
Metro Group of Long Island,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.metrogroupinc.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.metrogroupinc.com/ (New Window)"">http://www.metrogroupinc.com/</a>",NY,Tayler Macomber,2/28/2025,Less than 5M,"8,424.81",3,Outbound
